,LEA,SCHNAME,PTAC5EM_PTQ,PTEBACC_PTQ,PTAC5EMFSM_PTQ,PT24ENGPRG_PTQ,PT24MATHPRG_PTQ
701,Sefton (343),St Michael's Church of England High School,0.53,0.09,0.34,0.73,0.59
702,Sefton (343),Savio Salesian College,0.52,0.16,0.43,0.66,0.41
703,Sefton (343),Stanley High School,0.42,0.21,0.18,0.74,0.4
704,Wirral (344),Bebington High Sports College,0.36,0.03,0.28,0.65,0.62
705,Wirral (344),Birkenhead High School Academy,0.83,0.38,0.69,0.84,0.82
706,Wirral (344),Calday Grange Grammar School,0.94,0.83,0.82,0.94,0.9
707,Wirral (344),Hilbre High School,0.46,0.13,0.32,0.55,0.59
708,Wirral (344),The Mosslands School,0.23,0.05,0.13,0.37,0.48
709,Wirral (344),The Oldershaw Academy,0.35,0.03,0.28,0.52,0.52
710,Wirral (344),Pensby High School for Boys: A Specialist Sports College,0.43,0.1,0.21,0.61,0.47
711,Wirral (344),Pensby High School for Girls,0.51,0.24,0.16,0.73,0.57
712,Wirral (344),Prenton High School for Girls,0.65,0.17,0.38,0.76,0.75
713,Wirral (344),Ridgeway High School,0.24,0.12,0.19,0.29,0.42
714,Wirral (344),St Anselm's College,0.84,0.65,0.8,0.81,0.8
715,Wirral (344),St John Plessington Catholic College,0.65,0.21,0.47,0.91,0.84
716,Wirral (344),St Mary's Catholic College,0.4,0.12,0.23,0.62,0.39
717,Wirral (344),South Wirral High School,0.47,0.21,0.27,0.57,0.72
718,Wirral (344),University Academy of Birkenhead,0.41,0.11,0.31,0.75,0.53
719,Wirral (344),Upton Hall School FCJ,0.99,0.91,0.94,0.97,0.95
720,Wirral (344),Wallasey School,0.39,0.03,0.32,0.54,0.49
721,Wirral (344),Weatherhead High School,0.76,0.34,0.61,0.81,0.86
722,Wirral (344),West Kirby Grammar School,0.99,0.82,1.0,0.96,0.98
723,Wirral (344),Wirral Grammar School for Boys,0.94,0.73,0.8,0.97,0.9
724,Wirral (344),Wirral Grammar School for Girls,0.98,0.82,0.9,0.98,0.94
725,Wirral (344),Woodchurch High School,0.5,0.19,0.36,0.73,0.57
726,Bolton (350),Bolton Muslim Girls School,0.76,0.64,0.85,0.86,0.88
727,Bolton (350),Bolton St Catherine's Academy,0.35,0.01,0.32,0.55,0.47
728,Bolton (350),Canon Slade CofE School,0.81,0.45,0.58,0.87,0.82
729,Bolton (350),Essa Academy,0.54,0.08,0.54,0.68,0.76
730,Bolton (350),Harper Green School,0.43,0.12,0.3,0.51,0.63
731,Bolton (350),Kearsley Academy,0.53,0.0,0.41,0.66,0.58
732,Bolton (350),Ladybridge High School,0.47,0.16,0.34,0.5,0.59
733,Bolton (350),Little Lever School,0.53,0.07,0.43,0.62,0.7
734,Bolton (350),Mount St Joseph: Business and Enterprise College,0.59,0.21,0.46,0.88,0.56
735,Bolton (350),Rivington and Blackrod High School,0.63,0.25,0.47,0.78,0.61
736,Bolton (350),St James's Church of England High School,0.69,0.21,0.5,0.73,0.68
737,Bolton (350),St Joseph's RC High School and Sports College,0.68,0.2,0.38,0.74,0.66
738,Bolton (350),Sharples School Science Specialist College,0.52,0.25,0.41,0.58,0.66
739,Bolton (350),Thornleigh Salesian College,0.73,0.27,0.53,0.93,0.77
740,Bolton (350),Turton School,0.62,0.26,0.45,0.79,0.55
741,Bolton (350),Westhoughton High School,0.55,0.11,0.37,0.72,0.67
742,Bury (351),Broad Oak Sports College,0.44,0.13,0.4,0.83,0.46
743,Bury (351),Bury Church of England High School,0.55,0.47,0.44,0.63,0.58
744,Bury (351),Castlebrook High School,0.56,0.26,0.37,0.64,0.64
745,Bury (351),The Derby High School,0.6,0.3,0.6,0.78,0.64
746,Bury (351),The Elton High School Specialist Arts College,0.59,0.18,0.51,0.79,0.63
747,Bury (351),Manchester Mesivta School,0.59,0.26,,0.59,0.89
748,Bury (351),Parrenthorn High School,0.63,0.47,0.41,0.74,0.8
749,Bury (351),Philips High School,0.57,0.32,0.23,0.66,0.62
750,Bury (351),Prestwich Arts College,0.49,0.14,0.4,0.62,0.72
751,Bury (351),Radcliffe Riverside School,0.26,0.0,0.18,0.53,0.37
752,Bury (351),St Gabriel's RC High School,0.66,0.29,0.46,0.72,0.71
753,Bury (351),St Monica's RC High School and Sixth Form Centre,0.59,0.37,0.38,0.91,0.48
754,Bury (351),Tottington High School,0.61,0.28,0.42,0.72,0.67
755,Bury (351),Woodhey High School,0.62,0.46,0.46,0.68,0.65
756,Manchester (352),Abraham Moss Community School,0.41,0.16,0.37,0.68,0.52
757,Manchester (352),The Barlow RC High School and Specialist Science College,0.65,0.27,0.52,0.84,0.65
758,Manchester (352),Burnage Media Arts College,0.6,0.16,0.58,0.85,0.74
759,Manchester (352),Cedar Mount Academy,0.34,0.13,0.29,0.53,0.48
760,Manchester (352),Chorlton High School,0.68,0.39,0.54,0.8,0.73
761,Manchester (352),The Co-operative Academy of Manchester,0.52,0.09,0.51,0.87,0.58
762,Manchester (352),The East Manchester Academy,,,,,
763,Manchester (352),The King David High School,0.92,0.51,1.0,0.82,0.91
764,Manchester (352),Levenshulme High School,0.53,0.37,0.46,0.83,0.71
765,Manchester (352),Loreto High School Chorlton,0.49,0.28,0.44,0.71,0.53
766,Manchester (352),Manchester Academy,0.44,0.12,0.41,0.73,0.58
767,Manchester (352),Manchester Communication Academy,,,,,
768,Manchester (352),Manchester Creative and Media Academy,0.39,0.12,0.26,0.49,0.48
769,Manchester (352),Manchester Creative and Media Academy for Boys,0.08,0.01,0.04,0.14,0.24
770,Manchester (352),Manchester Enterprise Academy,0.59,0.19,0.52,0.88,0.67
771,Manchester (352),Manchester Health Academy,0.47,0.06,0.44,0.77,0.77
772,Manchester (352),Newall Green High School,0.31,0.09,0.27,0.57,0.45
773,Manchester (352),Our Lady's RC Sports College,0.41,0.08,0.35,0.6,0.46
774,Manchester (352),Parrs Wood High School,0.63,0.36,0.44,0.78,0.63
775,Manchester (352),St Matthew's RC High School,0.45,0.18,0.3,0.62,0.5
776,Manchester (352),Saint Paul's Catholic High School,0.39,0.16,0.27,0.72,0.44
777,Manchester (352),St Peter's RC High School,0.58,0.12,0.51,0.9,0.59
778,Manchester (352),Trinity CofE High School,0.53,0.18,0.48,0.62,0.64
779,Manchester (352),Whalley Range 11-18 High School,0.58,0.36,0.52,0.78,0.66
780,Manchester (352),William Hulme's Grammar School,0.67,0.34,0.56,0.85,0.71
781,Manchester (352),Wright Robinson College,0.64,0.27,0.52,0.83,0.69
782,Oldham (353),Blessed John Henry Newman Roman Catholic College,0.62,0.19,0.44,0.83,0.68
783,Oldham (353),The Blue Coat CofE School,0.74,0.37,0.41,0.78,0.75
784,Oldham (353),Collective Spirit Free School,,,,,
785,Oldham (353),The Crompton House Church of England Academy,0.76,0.34,0.38,0.78,0.68
786,Oldham (353),Failsworth School,0.44,0.12,0.26,0.53,0.53
787,Oldham (353),The Hathershaw College,0.6,0.27,0.52,0.84,0.64
788,Oldham (353),North Chadderton School,0.75,0.16,0.64,0.85,0.74
789,Oldham (353),Oasis Academy Oldham,0.37,0.09,0.24,0.6,0.39
790,Oldham (353),The Oldham Academy North,0.42,0.06,0.4,0.84,0.61
791,Oldham (353),The Radclyffe School,0.42,0.04,0.36,0.56,0.51
792,Oldham (353),Royton and Crompton School,0.42,0.06,0.18,0.62,0.47
793,Oldham (353),Saddleworth School,0.63,0.33,0.31,0.69,0.73
794,Oldham (353),Waterhead Academy,0.33,0.08,0.21,0.49,0.45
795,Rochdale (354),Cardinal Langley Roman Catholic High School,0.61,0.28,0.4,0.84,0.6
796,Rochdale (354),Falinge Park High School,0.47,0.18,0.4,0.81,0.66
797,Rochdale (354),Hollingworth Academy,0.68,0.13,0.56,0.73,0.76
798,Rochdale (354),Holy Family Roman Catholic and Church of England College,0.57,0.26,0.38,0.78,0.58
799,Rochdale (354),Kingsway Park High School,0.43,0.14,0.35,0.63,0.54
800,Rochdale (354),Matthew Moss High School,0.47,0.14,0.32,0.63,0.62
801,Rochdale (354),Middleton Technology School,0.75,0.16,0.63,0.8,0.83
802,Rochdale (354),Oulder Hill Community School and Language College,0.66,0.22,0.51,0.72,0.75
803,Rochdale (354),St Anne's Church of England Academy,0.33,0.13,0.3,0.46,0.43
804,Rochdale (354),St Cuthbert's RC Business and Enterprise College,0.49,0.12,0.35,0.64,0.56
805,Rochdale (354),Siddal Moor Sports College,0.46,0.19,0.24,0.53,0.57
806,Rochdale (354),Wardle Academy,0.58,0.16,0.43,0.76,0.66
807,Salford (355),The Albion Academy,0.33,0.08,0.28,0.55,0.54
808,Salford (355),All Hallows RC Business and Enterprise College,0.51,0.23,0.39,0.73,0.72
809,Salford (355),Beis Yaakov High School,0.66,0.3,,0.77,0.74
810,Salford (355),Buile Hill Visual Arts College,0.29,0.07,0.25,0.86,0.4
811,Salford (355),Ellesmere Park High School,0.54,0.15,0.42,0.83,0.54
812,Salford (355),Harrop Fold School,0.43,0.05,0.34,0.66,0.49
813,Salford (355),Irlam and Cadishead College,0.34,0.02,0.2,0.47,0.42
814,Salford (355),Moorside High School,0.54,0.15,0.27,0.69,0.65
815,Salford (355),Oasis Academy MediaCityUK,0.21,0.01,0.08,0.44,0.35
816,Salford (355),St Ambrose Barlow RC High School,0.74,0.26,0.36,0.68,0.87
817,Salford (355),St George's RC High School,0.46,0.22,0.32,0.65,0.57
818,Salford (355),St Patrick's RC High School and Arts College,0.77,0.57,0.67,0.87,0.81
819,Salford (355),Salford City Academy,0.33,0.06,0.32,0.44,0.38
820,Salford (355),The Swinton High School,0.48,0.32,0.34,0.5,0.46
821,Salford (355),Walkden High School,0.55,0.2,0.35,0.68,0.64
822,Stockport (356),Bramhall High School,0.62,0.38,0.36,0.62,0.69
823,Stockport (356),Cheadle Hulme High School,0.77,0.43,0.44,0.82,0.81
824,Stockport (356),Harrytown Catholic High School,0.62,0.21,0.13,0.81,0.66
825,Stockport (356),Hazel Grove High School,0.69,0.36,0.48,0.84,0.68
826,Stockport (356),The Kingsway School,0.62,0.16,0.43,0.75,0.71
827,Stockport (356),Marple Hall School - A Specialist Language College,0.66,0.35,0.49,0.72,0.79
828,Stockport (356),Priestnall School,0.63,0.37,0.14,0.7,0.73
829,Stockport (356),Reddish Vale Technology College,0.43,0.14,0.24,0.59,0.6
830,Stockport (356),"St Anne's Roman Catholic High School, Stockport",0.64,0.08,0.41,0.7,0.64
831,Stockport (356),St James' Catholic High School - A Specialist Humanities College,0.69,0.46,0.22,0.81,0.75
832,Stockport (356),Stockport Academy,0.34,0.1,0.18,0.7,0.4
833,Stockport (356),Stockport School,0.62,0.38,0.4,0.79,0.67
834,Stockport (356),Stockport Technical School,,,,,
835,Stockport (356),Werneth School,0.34,0.02,0.19,0.49,0.53
836,Tameside (357),Alder Community High School,0.71,0.09,0.51,0.8,0.85
837,Tameside (357),All Saints Catholic College,0.55,0.17,0.31,0.62,0.54
838,Tameside (357),Astley Sports College and Community High School,0.32,0.06,0.18,0.6,0.43
839,Tameside (357),Audenshaw School Academy Trust,0.63,0.35,0.46,0.66,0.64
840,Tameside (357),Copley Academy,0.28,0.11,0.15,0.43,0.39
841,Tameside (357),Denton Community College,0.44,0.09,0.35,0.66,0.53
842,Tameside (357),Droylsden Academy,0.47,0.19,0.3,0.74,0.53
843,Tameside (357),Fairfield High School for Girls,0.71,0.39,0.49,0.73,0.73
844,Tameside (357),Hyde Community College,0.48,0.12,0.38,0.57,0.71
845,Tameside (357),Longdendale High School,0.54,0.3,0.35,0.7,0.57
846,Tameside (357),Mossley Hollins High School,0.82,0.4,0.63,0.93,0.84
847,Tameside (357),New Charter Academy,0.37,0.18,0.21,0.75,0.35
848,Tameside (357),St Damian's RC Science College,0.64,0.22,0.5,0.83,0.71
849,Tameside (357),St Thomas More RC College Specialising in Mathematics and Computing,0.74,0.3,0.48,0.89,0.72
850,Tameside (357),West Hill School,0.56,0.03,0.26,0.56,0.7
851,Trafford (358),Altrincham College of Arts,0.62,0.13,0.47,0.75,0.66
852,Trafford (358),Altrincham Grammar School for Boys,0.99,0.66,,0.93,1.0
853,Trafford (358),Altrincham Grammar School for Girls,1.0,0.99,,0.99,1.0
854,Trafford (358),Ashton-on-Mersey School,0.61,0.19,0.48,0.68,0.68
855,Trafford (358),Blessed Thomas Holford Catholic College,0.66,0.09,0.63,0.89,0.69
856,Trafford (358),Broadoak School,0.38,0.01,0.28,0.65,0.5
857,Trafford (358),Flixton Girls' School,0.73,0.09,0.59,0.85,0.77
858,Trafford (358),Loreto Grammar School,0.99,0.8,,0.97,0.99
859,Trafford (358),Lostock College,0.47,0.09,0.37,0.76,0.54
860,Trafford (358),St Ambrose College,0.98,0.31,1.0,0.93,0.91
861,Trafford (358),St Antony's Catholic College,0.37,0.05,0.22,0.46,0.48
862,Trafford (358),Sale Grammar School,0.95,0.74,1.0,0.89,0.93
863,Trafford (358),Sale High School,0.44,0.25,0.26,0.75,0.54
864,Trafford (358),Stretford Grammar School,0.97,0.55,0.96,0.94,0.9
865,Trafford (358),Stretford High School,0.45,0.1,0.36,0.73,0.5
866,Trafford (358),Urmston Grammar Academy,0.99,0.76,1.0,0.98,0.95
867,Trafford (358),Wellacre Technology Academy,0.42,0.13,0.41,0.55,0.46
868,Trafford (358),Wellington School,0.76,0.46,0.5,0.84,0.78
869,Wigan (359),Abraham Guest Academy,0.32,0.09,0.21,0.52,0.34
870,Wigan (359),Atherton Community School,,,,,
871,Wigan (359),Bedford High School,0.48,0.19,0.33,0.77,0.62
872,Wigan (359),The Byrchall High School,0.61,0.16,0.44,0.74,0.64
873,Wigan (359),Cansfield High Specialist Language College,0.63,0.35,0.33,0.81,0.59
874,Wigan (359),The Deanery Church of England High School and Sixth Form College,0.69,0.25,0.39,0.77,0.68
875,Wigan (359),Fred Longworth High School,0.68,0.33,0.38,0.77,0.82
876,Wigan (359),Golborne High School,0.55,0.16,0.25,0.75,0.56
877,Wigan (359),Hawkley Hall High School,0.75,0.21,0.53,0.86,0.79
878,Wigan (359),Hindley High School,0.4,0.1,0.18,0.53,0.42
879,Wigan (359),Lowton Church of England High School,0.47,0.12,0.15,0.72,0.51
880,Wigan (359),Rose Bridge High School,0.34,0.01,0.23,0.46,0.42
881,Wigan (359),"St Edmund Arrowsmith Catholic High School, Ashton-in-Makerfield",0.78,0.28,0.53,0.87,0.8
882,Wigan (359),St John Fisher Catholic High School,0.55,0.24,0.28,0.74,0.5
883,Wigan (359),St Mary's Catholic High School,0.66,0.34,0.5,0.71,0.7
884,Wigan (359),St Peter's Catholic High School Visual Arts College,0.8,0.37,0.5,0.81,0.8
885,Wigan (359),Shevington High School,0.72,0.23,0.56,0.76,0.71
886,Wigan (359),Standish Community High School,0.59,0.2,0.29,0.78,0.57
887,Wigan (359),Westleigh High School - A College of Technology,0.47,0.12,0.34,0.88,0.53
888,Wigan (359),Wigan UTC,,,,,
889,Barnsley (370),Barnsley Academy,0.38,0.03,0.28,0.52,0.45
890,Barnsley (370),Carlton Community College,0.29,0.05,0.15,0.66,0.3
891,Barnsley (370),Darton College,0.43,0.1,0.24,0.57,0.36
892,Barnsley (370),The Dearne Advanced Learning Centre,0.38,0.1,0.23,0.51,0.46
893,Barnsley (370),Holy Trinity,0.6,0.22,0.4,0.72,0.69
894,Barnsley (370),Horizon Community College,0.61,0.14,0.39,0.74,0.61
895,Barnsley (370),Kirk Balk Community College,0.51,0.25,0.28,0.68,0.5
896,Barnsley (370),Netherwood Advanced Learning Centre,0.41,0.04,0.18,0.57,0.4
897,Barnsley (370),Penistone Grammar School,0.7,0.27,0.53,0.74,0.69
898,Barnsley (370),Shafton Advanced Learning Centre,0.28,0.01,0.21,0.53,0.51
899,Doncaster (371),Armthorpe Academy,0.41,0.07,0.34,0.74,0.38
900,Doncaster (371),Ash Hill Academy,0.43,0.06,0.25,0.57,0.52
901,Doncaster (371),Balby Carr Community Academy,,,,,
902,Doncaster (371),Campsmount (A Co-Operative Academy),0.42,0.12,0.39,0.66,0.38
903,Doncaster (371),Danum Academy,0.21,0.02,0.16,0.39,0.61
904,Doncaster (371),De Warenne Academy,0.4,0.0,0.28,0.55,0.56
905,Doncaster (371),Don Valley Academy,0.43,0.11,0.34,0.53,0.44
906,Doncaster (371),Hall Cross Academy,0.53,0.09,0.34,0.57,0.73
907,Doncaster (371),The Hayfield School,0.76,0.34,0.36,0.76,0.82
908,Doncaster (371),"Hungerhill School A Specialist Centre for Science, Mathematics and Computing",0.68,0.21,0.63,0.87,0.71
909,Doncaster (371),The McAuley Catholic High School,0.6,0.33,0.53,0.65,0.65
910,Doncaster (371),Mexborough School,0.37,0.08,0.23,0.54,0.46
911,Doncaster (371),Outwood Academy Adwick,0.57,0.06,0.46,0.76,0.68
912,Doncaster (371),Ridgewood School,0.65,0.1,0.48,0.67,0.69
913,Doncaster (371),Rossington All Saints Academy,0.64,0.17,0.43,0.74,0.65
914,Doncaster (371),Sir Thomas Wharton Community College,0.42,0.12,0.28,0.49,0.43
915,Doncaster (371),Trinity Academy,0.51,0.23,0.35,0.79,0.53
916,Rotherham (372),Aston Academy,0.72,0.33,0.52,0.89,0.69
917,Rotherham (372),Brinsworth Comprehensive School,0.64,0.3,0.38,0.76,0.67
918,Rotherham (372),Clifton Community School,0.28,0.09,0.2,0.53,0.34
919,Rotherham (372),Dinnington Comprehensive Specialising in Science and Engineering,0.65,0.17,0.48,0.85,0.71
920,Rotherham (372),Maltby Academy,0.63,0.25,0.39,0.9,0.72
921,Rotherham (372),Rawmarsh Community School - A Sports College,0.51,0.14,0.32,0.77,0.59
922,Rotherham (372),"St Bernard's Catholic High School, Specialist School for the Arts and Applied Learning",0.58,0.1,0.29,0.84,0.61
923,Rotherham (372),Saint Pius X Catholic High School A Specialist School in Humanities,0.5,0.17,0.3,0.66,0.72
924,Rotherham (372),Swinton Community School,0.46,0.14,0.27,0.59,0.63
925,Rotherham (372),Wales High School,0.6,0.14,0.34,0.79,0.71
926,Rotherham (372),Wath Comprehensive School : A Language College,0.6,0.42,0.35,0.69,0.71
927,Rotherham (372),Wickersley School and Sports College,0.78,0.26,0.51,0.98,0.8
928,Rotherham (372),Wingfield Academy,0.38,0.02,0.23,0.6,0.6
929,Rotherham (372),Winterhill School,0.59,0.04,0.41,0.8,0.69
930,Sheffield (373),All Saints' Catholic High School,0.56,0.22,0.44,0.71,0.61
931,Sheffield (373),Birley Community College,0.48,0.18,0.25,0.73,0.52
932,Sheffield (373),Bradfield School,0.69,0.28,0.27,0.72,0.7
933,Sheffield (373),Chaucer School,0.33,0.05,0.18,0.65,0.36
934,Sheffield (373),Ecclesfield School,0.51,0.28,0.23,0.53,0.59
935,Sheffield (373),Fir Vale School Academy Trust,0.39,0.16,0.37,0.48,0.64
936,Sheffield (373),Firth Park Academy,0.4,0.12,0.34,0.71,0.58
937,Sheffield (373),Forge Valley Community School,0.48,0.18,0.21,0.55,0.56
938,Sheffield (373),Handsworth Grange Community Sports College,0.6,0.11,0.51,0.76,0.71
939,Sheffield (373),High Storrs School,0.7,0.44,0.32,0.81,0.76
940,Sheffield (373),Hinde House 3-16 School,0.42,0.13,0.31,0.67,0.68
941,Sheffield (373),King Ecgbert School,0.66,0.33,0.34,0.78,0.82
942,Sheffield (373),King Edward VII School,0.62,0.43,0.37,0.75,0.69
943,Sheffield (373),Meadowhead School Academy Trust,0.48,0.28,0.27,0.64,0.57
944,Sheffield (373),Newfield Secondary School,0.57,0.18,0.38,0.8,0.66
945,Sheffield (373),Notre Dame High School,0.77,0.4,0.68,0.9,0.88
946,Sheffield (373),Outwood Academy City,,,,,
947,Sheffield (373),Parkwood Academy,0.51,0.15,0.51,0.7,0.68
948,Sheffield (373),Sheffield Park Academy,0.66,0.09,0.54,0.92,0.72
949,Sheffield (373),Sheffield Springs Academy,0.36,0.05,0.21,0.62,0.52
950,Sheffield (373),Silverdale School,0.71,0.42,0.42,0.79,0.8
951,Sheffield (373),Stocksbridge High School,0.5,0.16,0.22,0.64,0.48
952,Sheffield (373),Tapton School,0.77,0.5,0.5,0.88,0.86
953,Sheffield (373),UTC Sheffield,,,,,
954,Sheffield (373),Westfield School,0.46,0.11,0.16,0.68,0.54
955,Sheffield (373),Yewlands Technology College,0.51,0.1,0.22,0.65,0.47
956,Bradford (380),Appleton Academy,0.4,0.08,0.31,0.62,0.39
957,Bradford (380),Beckfoot School,0.7,0.41,0.64,0.84,0.75
958,Bradford (380),Belle Vue Boys' School,0.32,0.04,0.3,0.7,0.52
959,Bradford (380),Belle Vue Girls' School,0.36,0.16,0.29,0.63,0.51
960,Bradford (380),Bingley Grammar School,0.59,0.3,0.31,0.68,0.64
961,Bradford (380),Bradford Academy,0.47,0.05,0.35,0.67,0.58
962,Bradford (380),Bradford Girls' Grammar School,0.9,0.57,1.0,0.89,0.88
963,Bradford (380),Bradford Studio School,0.24,0.0,0.43,0.6,0.4
964,Bradford (380),Buttershaw Business and Enterprise College,0.31,0.17,0.2,0.49,0.51
965,Bradford (380),Carlton Bolling College,0.41,0.05,0.33,0.67,0.72
966,Bradford (380),Dixons Allerton Academy,0.43,0.11,0.33,0.7,0.58
967,Bradford (380),Dixons City Academy,0.56,0.31,0.49,0.71,0.66
968,Bradford (380),Dixons Trinity Academy,,,,,
969,Bradford (380),Feversham College,0.74,0.24,0.72,0.88,0.86
970,Bradford (380),Grange Technology College,0.39,0.03,0.31,0.73,0.49
971,Bradford (380),Hanson School,0.43,0.14,0.29,0.72,0.47
972,Bradford (380),The Holy Family Catholic School,0.41,0.17,0.18,0.64,0.44
973,Bradford (380),Ilkley Grammar School,0.82,0.42,0.43,0.88,0.83
974,Bradford (380),Immanuel College,0.52,0.21,0.29,0.8,0.5
975,Bradford (380),Kings Science Academy,,,,,
976,Bradford (380),Laisterdyke Business and Enterprise College,0.3,0.05,0.24,0.4,0.54
977,Bradford (380),Oakbank School,0.31,0.14,0.18,0.44,0.34
978,Bradford (380),Oasis Academy Lister Park,0.29,0.08,0.26,0.5,0.36
979,Bradford (380),One In A Million Free School,,,,,
980,Bradford (380),Parkside School,0.51,0.2,0.27,0.59,0.61
981,Bradford (380),Queensbury School,0.42,0.07,0.23,0.52,0.55
982,Bradford (380),St Bede's Catholic Grammar School,0.38,0.16,0.21,0.5,0.45
983,Bradford (380),St Joseph's Catholic College,0.42,0.32,0.19,0.62,0.53
984,Bradford (380),The Samuel Lister Academy,0.54,0.14,0.45,0.74,0.58
985,Bradford (380),Thornton Grammar School,0.41,0.09,0.18,0.59,0.52
986,Bradford (380),Titus Salt School,0.42,0.28,0.31,0.62,0.42
987,Bradford (380),Tong High School,0.16,0.03,0.09,0.37,0.33
988,Bradford (380),University Academy Keighley,0.28,0.05,0.21,0.59,0.42
989,Calderdale (381),Brighouse High School,0.68,0.35,0.42,0.82,0.67
990,Calderdale (381),The Brooksbank School,0.57,0.1,0.31,0.7,0.6
991,Calderdale (381),"Calder High School, A Specialist Technology College",0.52,0.24,0.27,0.58,0.69
992,Calderdale (381),The Crossley Heath School,1.0,0.75,1.0,0.95,0.99
993,Calderdale (381),Hipperholme and Lightcliffe High School,0.48,0.18,0.31,0.66,0.51
994,Calderdale (381),The North Halifax Grammar School,0.92,0.72,0.8,0.81,0.85
995,Calderdale (381),Park Lane Learning Trust,0.29,0.0,0.27,0.36,0.42
996,Calderdale (381),Rastrick High School,0.73,0.12,0.58,0.83,0.71
997,Calderdale (381),Ryburn Valley High School,0.59,0.18,0.44,0.8,0.59
998,Calderdale (381),Sowerby Bridge High School,0.46,0.24,0.29,0.75,0.63
999,Calderdale (381),Todmorden High School,0.51,0.15,0.36,0.64,0.61
1000,Calderdale (381),"Trinity Academy, Halifax",0.59,0.14,0.46,0.69,0.8
1001,Kirklees (382),All Saints Catholic College Specialist in Humanities,0.63,0.19,0.53,0.96,0.63
1002,Kirklees (382),Almondbury Community School,0.37,0.21,0.31,0.59,0.4
1003,Kirklees (382),Batley Business and Enterprise College,0.39,0.05,0.29,0.67,0.53
1004,Kirklees (382),Batley Girls' High School - Visual Arts College,0.59,0.28,0.47,0.94,0.7
1005,Kirklees (382),Batley Grammar School,0.78,0.52,0.5,0.82,0.83
1006,Kirklees (382),BBG Academy,,,,,
1007,Kirklees (382),Castle Hall Academy Trust,0.59,0.4,0.36,0.63,0.7
1008,Kirklees (382),Colne Valley High School,0.56,0.07,0.39,0.74,0.57
1009,Kirklees (382),Heckmondwike Grammar School,0.98,0.81,0.88,0.93,0.99
1010,Kirklees (382),Holmfirth High School,0.59,0.33,0.14,0.71,0.59
1011,Kirklees (382),Honley High School,0.74,0.17,0.43,0.88,0.76
1012,Kirklees (382),King James's School,0.71,0.3,0.5,0.75,0.77
1013,Kirklees (382),Manor Croft Academy,0.39,0.09,0.21,0.53,0.47
1014,Kirklees (382),The Mirfield Free Grammar and Sixth Form,0.63,0.25,0.49,0.67,0.77
1015,Kirklees (382),Moor End Academy,0.44,0.0,0.34,0.76,0.65
1016,Kirklees (382),Nether Hall Learning Campus High School,0.72,0.09,0.62,0.79,0.78
1017,Kirklees (382),Newsome High School and Sports College,0.55,0.22,0.47,0.69,0.54
1018,Kirklees (382),North Huddersfield Trust School,0.32,0.04,0.18,0.57,0.47
1019,Kirklees (382),Royds Hall Community School,0.38,0.13,0.31,0.66,0.57
1020,Kirklees (382),St John Fisher Catholic High School,0.62,0.22,0.45,0.64,0.71
1021,Kirklees (382),Salendine Nook Academy Trust,0.59,0.23,0.42,0.64,0.68
1022,Kirklees (382),Shelley College,0.61,0.37,0.36,0.75,0.7
1023,Kirklees (382),Spen Valley High School,0.43,0.08,0.17,0.32,0.57
1024,Kirklees (382),Thornhill Community Academy Trust,0.17,0.08,0.09,0.31,0.59
1025,Kirklees (382),Westborough High School,0.51,0.12,0.46,0.78,0.63
1026,Kirklees (382),Whitcliffe Mount - Specialist Business and Enterprise College,0.59,0.05,0.42,0.76,0.75
1027,Leeds (383),Abbey Grange Church of England Academy,0.74,0.33,0.54,0.79,0.73
1028,Leeds (383),Allerton Grange School,0.36,0.19,0.14,0.58,0.44
1029,Leeds (383),Allerton High School,0.65,0.39,0.32,0.62,0.82
1030,Leeds (383),Benton Park School,0.71,0.36,0.49,0.81,0.77
1031,Leeds (383),Boston Spa School,0.46,0.16,0.35,0.66,0.45
1032,Leeds (383),Brigshaw High School and Language College,0.55,0.2,0.26,0.8,0.56
1033,Leeds (383),Bruntcliffe School,0.32,0.08,0.12,0.39,0.6
1034,Leeds (383),Cardinal Heenan Catholic High School,0.67,0.38,0.45,0.74,0.73
1035,Leeds (383),"Carr Manor Community School, Specialist Sports College",0.45,0.16,0.3,0.71,0.55
1036,Leeds (383),City of Leeds School,0.12,0.0,0.1,0.31,0.4
1037,Leeds (383),Cockburn,0.48,0.03,0.39,0.67,0.67
1038,Leeds (383),The Co-operative Academy of Leeds,0.27,0.05,0.22,0.57,0.45
1039,Leeds (383),Corpus Christi Catholic College,0.5,0.25,0.33,0.53,0.63
1040,Leeds (383),Crawshaw School,0.47,0.15,0.25,0.61,0.55
1041,Leeds (383),David Young Community Academy,0.38,0.01,0.33,0.76,0.56
1042,Leeds (383),The Farnley Academy,0.64,0.26,0.43,0.83,0.85
1043,Leeds (383),Garforth Academy,0.7,0.3,0.58,0.73,0.8
1044,Leeds (383),Guiseley School,0.62,0.39,0.35,0.76,0.65
1045,Leeds (383),Horsforth School,0.69,0.25,0.56,0.69,0.81
1046,Leeds (383),John Smeaton Academy,,,,,
1047,Leeds (383),Lawnswood School,0.56,0.22,0.41,0.62,0.62
1048,Leeds (383),Leeds East Academy,0.26,0.1,0.2,0.45,0.37
1049,Leeds (383),Leeds Jewish Free School,,,,,
1050,Leeds (383),Leeds West Academy,0.37,0.05,0.34,0.77,0.4
