Address,Latitude,Longitude,Easting,Northing
BR3 3SJ,51.399756,-0.025795,537430,168596
BR3 1QR,51.416895,-0.043408,536154,170469
BR2 7DB,51.373976,0.018931,540620,165814
DA14 5AA,51.411874,0.110162,546848,170207
BR3 3BP,51.389064,-0.018896,537942,167420
BR3 3BE,51.388317,-0.017793,538021,167339
BR6 9SA,51.367523,0.076846,544671,165209
BR5 4LG,51.37309,0.11401,547240,165902
BR2 8HP,51.369442,0.035642,541797,165342
BR2 9EH,51.394017,0.020704,540682,168046
BR6 9SH,51.366419,0.103905,546558,165140
CR0 0AH,51.334557,-0.002383,539256,161390
CR9 3AS,51.391214,-0.13056,530167,167455
CR9 3AS,51.391214,-0.13056,530167,167455
CR0 5JQ,51.369145,-0.08379,533485,165085
CR0 2HN,51.390396,-0.092618,532809,167432
CR9 5AS,51.369335,-0.052232,535681,165164
CR0 7NJ,51.384282,-0.040402,536460,166848
CR2 6DT,51.353123,-0.108284,531826,163259
SE25 6AE,51.400076,-0.074705,534027,168541
SE19 3UG,51.413682,-0.094511,532610,170018
SE19 2JH,51.411675,-0.076821,533846,169827
CR0 2TB,51.37966,-0.103813,532061,166218
CR7 8BT,51.410837,-0.112115,531394,169670
CR5 1ES,51.300101,-0.113865,531589,157353
CR9 7AL,51.382872,-0.063255,534874,166649
CR2 8HD,51.350982,-0.046907,536106,163133
CR8 1EX,51.325079,-0.089172,533238,160175
CR0 4BH,51.369497,-0.109865,531669,165077
SE19 3HL,51.420536,-0.107415,531693,170757
CR9 2EE,51.380619,-0.098601,532421,166334
CR0 5EF,51.371036,-0.051757,535709,165354
CR8 2XP,51.344061,-0.120173,531024,162230
SE19 1RS,51.421514,-0.094502,532588,170889
CR5 2EH,51.330778,-0.13932,529728,160719
W3 8EY,51.505908,-0.280556,519432,179954
UB5 5LQ,51.543461,-0.382426,512270,183969
W7 1JJ,51.524691,-0.34097,515192,181946
UB6 9AW,51.525224,-0.352036,514423,181988
UB1 3HZ,51.51888,-0.366505,513435,181260
W7 1EU,51.515912,-0.33574,515577,180978
W3 0HW,51.517064,-0.286492,518991,181185
W7 2AH,51.499972,-0.329621,516042,179215
UB2 5HF,51.499196,-0.387912,511998,179038
UB1 2GU,51.530742,-0.369772,513179,182574
UB5 4HP,51.551936,-0.376918,512631,184920
W3 9PP,51.509193,-0.281384,519366,180318
UB1 3BT,51.510163,-0.373345,512982,180280
UB6 8PR,51.537618,-0.348358,514647,183372
EN3 5PA,51.666817,-0.037503,535819,198272
N18 1NB,51.617718,-0.081542,532917,192731
EN1 3PU,51.65736,-0.054437,534676,197189
N14 7HY,51.615222,-0.125168,529904,192375
EN1 3HQ,51.660619,-0.075378,533218,197513
EN1 1HQ,51.635285,-0.067578,533832,194710
EN2 6QG,51.654218,-0.083717,532660,196786
EN2 6LN,51.653004,-0.083189,532700,196652
N9 8BF,51.636982,-0.045164,535378,194940
N21 1QQ,51.648724,-0.10816,530985,196131
EN1 1YQ,51.650908,-0.061218,534226,196459
N9 9TN,51.626023,-0.074141,533405,193668
EN3 6TW,51.680383,-0.042109,535460,199772
N9 8DQ,51.633775,-0.04588,535338,194582
EN3 7XH,51.673517,-0.022504,536836,199045
EN3 4PX,51.64249,-0.038395,535830,195565
N13 5TY,51.616304,-0.107992,531090,192526
EN1 4NP,51.672939,-0.055751,534539,198919
EN4 0BL,51.647078,-0.140737,528736,195890
N21 3HS,51.62921,-0.091417,532200,193991
N11 2AZ,51.602065,-0.136959,529125,190891
N10 1NE,51.592854,-0.150979,528180,189842
N15 6EB,51.580065,-0.066082,534098,188572
N8 7NU,51.587579,-0.117299,530528,189315
N17 9LN,51.591837,-0.060154,534474,189892
N22 7ST,51.597657,-0.119365,530356,190432
N8 8RN,51.581438,-0.133126,529449,188604
N8 9JF,51.581867,-0.114922,530709,188684
N17 0PG,51.604911,-0.063337,534215,191340
N15 3RB,51.587192,-0.090566,532381,189320
N22 5HN,51.604474,-0.108787,531069,191209
N17 0BX,51.604199,-0.067599,533922,191253
N22 5QJ,51.603502,-0.100958,531614,191115
HA7 3NA,51.617314,-0.33238,515553,192260
HA8 6AN,51.599511,-0.287463,518709,190352
HA1 2JG,51.579894,-0.327674,515974,188106
HA3 6NR,51.606113,-0.356156,513935,190977
HA5 5RP,51.590709,-0.365143,513351,189250
HA7 1PL,51.599887,-0.302234,517685,190370
HA2 9AH,51.562261,-0.371876,512955,186076
HA3 7AY,51.599501,-0.336209,515333,190273
HA3 5DY,51.599975,-0.339152,515128,190321
HA2 0AD,51.573587,-0.352827,514247,187365
RM12 4YB,51.553245,0.208184,553190,186128
RM12 4AJ,51.55872,0.200601,552646,186721
RM1 4YY,51.605235,0.181114,551141,191853
RM13 7BB,51.536336,0.188172,551859,184206
RM11 3BX,51.579934,0.233452,554851,189149
RM13 9XD,51.515483,0.204872,553087,181922
RM14 3HS,51.556274,0.260208,556786,186575
RM3 9XR,51.609442,0.239955,555201,192444
RM13 8EU,51.518622,0.171092,550733,182201
RM11 3AD,51.569141,0.242967,555547,187969
RM1 2RR,51.573174,0.199062,552491,188325
RM14 3UX,51.546335,0.25233,556274,185453
RM14 1SF,51.563776,0.26335,556978,187416
RM1 4EH,51.590195,0.184248,551408,190187
RM3 0TS,51.586473,0.231954,554725,189873
RM2 6HJ,51.585593,0.21007,553212,189729
RM14 2QR,51.556855,0.243516,555627,186604
RM7 9NX,51.572555,0.154367,549396,188164
RM12 6RT,51.549827,0.214899,553667,185762
